ProductName,ProductCategory,UnitPrice
1984 by George Orwell,Books,14.99
Adidas 3-Stripes Shorts,Clothing,24.99
Adidas Essential Track Pants,Clothing,44.99
Adidas FIFA World Cup Football,Sports,29.99
Adidas Originals Superstar Sneakers,Clothing,79.99
Adidas Originals Trefoil Hoodie,Clothing,59.99
Adidas Ultraboost Running Shoes,Clothing,179.99
Adidas Ultraboost Shoes,Clothing,179.99
Amazon Echo Dot (4th Gen),Electronics,49.99
Amazon Echo Show 10,Electronics,249.99
Amazon Fire TV Stick 4K,Electronics,49.99
Anastasia Beverly Hills Brow Wiz,Beauty Products,23.00
Anker PowerCore Portable Charger,Electronics,39.99
Anova Precision Cooker,Home Appliances,199.00
Anova Precision Oven,Home Appliances,599.00
Apple AirPods Max,Electronics,549.00
Apple AirPods Pro,Electronics,249.00
Apple MacBook Air,Electronics,999.00
Apple MacBook Pro 16-inch,Electronics,2499.00
Apple TV 4K,Electronics,179.00
Apple Watch Series 8,Electronics,399.00
Apple iPad Air,Electronics,599.00
Atomic Habits by James Clear,Books,27.00
Babolat Pure Drive Tennis Racket,Sports,219.00
Becoming by Michelle Obama,Books,19.99
Biore UV Aqua Rich Watery Essence Sunscreen,Beauty Products,15.00
Blueair Classic 480i,Home Appliances,599.99
Bose QuietComfort 35 Headphones,Electronics,349.00
Bose QuietComfort 35 II Wireless Headphones,Electronics,349.00
Bose SoundLink Color Bluetooth Speaker II,Sports,129.00
Bose SoundLink Revolve+ Speaker,Electronics,299.00
Bose SoundSport Wireless Earbuds,Sports,149.00
Bowflex SelectTech 1090 Adjustable Dumbbells,Sports,699.00
Bowflex SelectTech 552 Dumbbells,Sports,399.00
Breville Nespresso Creatista Plus,Home Appliances,599.95
Breville Smart Coffee Grinder Pro,Home Appliances,199.95
Breville Smart Grill,Home Appliances,299.95
Breville Smart Oven,Home Appliances,269.95
CeraVe Foaming Facial Cleanser,Beauty Products,14.99
CeraVe Moisturizing Cream,Beauty Products,16.99
Clinique Moisture Surge 100H Auto-Replenishing Hydrator,Beauty Products,41.00
Codenames Board Game,Toys,19.95
Coleman Sundome Tent,Sports,69.99
Crest 3D Whitestrips,Beauty Products,44.99
Cuisinart Classic 15-Piece Knife Set,Home Appliances,99.95
Dior Sauvage Eau de Toilette,Beauty Products,100.00
Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,Beauty Products,52.00
Drunk Elephant T.L.C. Framboos Glycolic Night Serum,Beauty Products,90.00
Dyson V11 Vacuum,Home Appliances,499.99
Dyson Supersonic Hair Dryer,Home Appliances,399.99
Educated by Tara Westover,Books,18.99
EltaMD UV Clear Broad-Spectrum SPF 46,Beauty Products,37.00
Fenty Beauty Pro Filt'r Soft Matte Longwear Foundation,Beauty Products,36.00
Fitbit Charge 5,Sports,149.95
Fitbit Luxe,Sports,129.95
Glow Recipe Watermelon Glow PHA + BHA Pore-Tight Toner,Beauty Products,34.00
GoPro HERO10 Black,Electronics,499.99
Google Nest Hub (2nd Gen),Electronics,99.99
Google Nest Wifi Router,Electronics,169.00
Harry Potter Box Set,Books,89.99
Herschel Classic Backpack,Clothing,44.99
Hoka One One Clifton 8,Clothing,140.00
Hydro Flask Water Bottle,Sports,39.95
Instant Pot Duo 7-in-1,Home Appliances,89.99
JBL Flip 5 Bluetooth Speaker,Electronics,119.95
Keurig K-Elite Coffee Maker,Home Appliances,169.99
KitchenAid Artisan Series 5-Qt. Stand Mixer,Home Appliances,429.99
L'Oreal Paris Voluminous Lash Paradise Mascara,Beauty Products,10.99
La Mer Crème de la Mer,Beauty Products,350.00
Laneige Lip Sleeping Mask,Beauty Products,22.00
Le Creuset Dutch Oven,Home Appliances,370.00
Levi's 501 Jeans,Clothing,69.99
Lululemon Align Pant,Clothing,98.00
Manduka PRO Yoga Mat,Sports,120.00
Mario Badescu Drying Lotion,Beauty Products,17.00
Maybelline Instant Age Rewind Eraser Dark Circles Treatment Concealer,Beauty Products,9.99
Microsoft Surface Pro 8,Electronics,1099.99
NARS Radiant Creamy Concealer,Beauty Products,30.00
Neutrogena Hydro Boost Water Gel,Beauty Products,26.79
Neutrogena Skincare Set,Beauty Products,89.99
Nike Air Force 1,Clothing,90.00
Nike Air Max,Clothing,129.99
Nike Dri-FIT T-Shirt,Clothing,25.00
Nike Sportswear Club Fleece Hoodie,Clothing,55.00
Nintendo Switch,Electronics,299.99
Old Navy Mid-Rise Rockstar Super Skinny Jeans,Clothing,44.99
Olaplex No. 3 Hair Perfector,Beauty Products,28.00
Oral-B Pro 1000 Electric Toothbrush,Home Appliances,49.99
Patagonia Better Sweater,Clothing,139.00
Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,Beauty Products,29.50
Peloton Bike+,Sports,2495.00
Philips Hue White and Color Ambiance Starter Kit,Home Appliances,199.99
Philips Sonicare DiamondClean Toothbrush,Home Appliances,229.99
PlayStation 5,Electronics,499.99
Roku Streaming Stick 4K,Electronics,49.99
SK-II Facial Treatment Essence,Beauty Products,185.00
